disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,ra,dec,sma,display_name,source_kepler,source_tess
1,13.23352214,6.7372,504.6,3.06,5739.0,1.384,49.1,0.0,0.0,0.0,0.0,5739.0,5739.0,0.1126,Kepler-238 d,True,False
1,6.15560285,4.9843,285.0,2.32,5739.0,1.384,35.1,0.0,0.0,0.0,0.0,5739.0,5739.0,0.0676,Kepler-238 c,True,False
1,2.090811305,3.388,115.9,1.62,5739.0,1.384,19.9,0.0,0.0,0.0,0.0,5739.0,5739.0,0.0329,Kepler-238 b,True,False
1,3.180027898,3.5797,120.3,1.53,5847.0,1.402,50.4,0.0,0.0,0.0,0.0,5847.0,5847.0,0.0439,Kepler-107 b,True,False
1,50.4467417,7.159,370.3,2.67,5739.0,1.384,19.4,0.0,0.0,0.0,0.0,5739.0,5739.0,0.2747,Kepler-238 f,True,False
1,11.76307164,2.9076,1037.3,2.35,4959.0,0.756,48.9,0.0,0.0,0.0,0.0,4959.0,4959.0,0.0954,Kepler-239 b,True,False
1,56.2279271,3.57,862.7,2.37,4959.0,0.756,20.9,0.0,0.0,0.0,0.0,4959.0,4959.0,0.2707,Kepler-239 c,True,False
0,2.384052875,3.0918,1268.1,17.06,4794.0,0.701,50.5,0.0,1.0,1.0,1.0,4794.0,4794.0,0.0308,,True,False
1,7.953547,2.6312,875.4,2.25,4768.0,0.779,38.4,0.0,0.0,0.0,0.0,4768.0,4768.0,0.0712,Kepler-240 c,True,False
1,4.14451656,2.3421,391.8,1.48,4768.0,0.779,22.8,0.0,0.0,0.0,0.0,4768.0,4768.0,0.0461,Kepler-240 b,True,False
0,4.859386384,2.2757,6044.3,38.33,6072.0,0.988,269.7,0.0,1.0,0.0,0.0,6072.0,6072.0,0.0571,,True,False
1,10.526294577,2.5211,9768.0,8.24,5386.0,0.793,482.3,0.0,0.0,0.0,0.0,5386.0,5386.0,0.088,Kepler-702 b,True,False
1,4.583520948,2.7055,3812.1,5.39,5815.0,0.877,99.5,0.0,0.0,0.0,0.0,5815.0,5815.0,0.0535,Kepler-703 b,True,False
1,3.76181843,3.5176,510.6,2.66,5653.0,0.949,35.9,0.0,0.0,0.0,0.0,5653.0,5653.0,0.047,Kepler-704 b,True,False
1,8.20396958,2.9667,1024.4,3.01,5015.0,0.826,54.4,0.0,0.0,0.0,0.0,5015.0,5015.0,0.0735,Kepler-242 b,True,False
1,14.49645186,4.016,647.5,3.01,5015.0,0.826,25.7,0.0,0.0,0.0,0.0,5015.0,5015.0,0.1074,Kepler-242 c,True,False
1,6.54626149,2.75,655.9,2.19,5251.0,0.817,24.8,0.0,0.0,0.0,0.0,5251.0,5251.0,0.0668,Kepler-27 d,True,False
1,12.71809866,3.0957,1149.4,2.31,4702.0,0.686,52.7,0.0,0.0,0.0,0.0,4702.0,4702.0,0.0934,Kepler-241 b,True,False
1,36.06588163,4.3246,1563.8,2.64,4702.0,0.686,51.7,0.0,0.0,0.0,0.0,4702.0,4702.0,0.1871,Kepler-241 c,True,False
1,4.190425659,2.8589,2877.4,6.21,6073.0,1.135,240.6,0.0,0.0,0.0,0.0,6073.0,6073.0,0.0535,Kepler-696 b,True,False
1,3.709870784,3.0694,2020.3,4.35,5727.0,0.978,116.1,0.0,0.0,0.0,0.0,5727.0,5727.0,0.0471,Kepler-697 b,True,False
