disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,source_kepler,source_tess
1,1.625522174,2.38963,7969.0,9.73,5539.0,1.106,799.7,0.0,0.0,0.0,0.0,True,False
0,7.544039,6.222,322.6,17.47,5657.0,0.824,14.2,1.0,0.0,1.0,0.0,True,False
1,9.02930689,3.1449,1019.8,2.57,5349.0,0.82,53.9,0.0,0.0,0.0,0.0,True,False
0,10.328035714,7.7915,16918.0,13.28,5627.0,1.024,636.8,0.0,1.0,0.0,0.0,True,False
1,143.2063047,8.9302,10566.0,8.9,5485.0,0.867,138.8,0.0,0.0,0.0,0.0,True,False
1,6.164876,3.262,55.8,0.79,5854.0,1.012,14.4,0.0,0.0,0.0,0.0,True,False
1,60.32494216,6.6188,20280.0,12.19,5485.0,0.867,347.2,0.0,0.0,0.0,0.0,True,False
1,29.1598615,4.803,488.0,1.91,5485.0,0.867,11.6,0.0,0.0,0.0,0.0,True,False
0,1.540397253,2.1541,816.1,25.69,5663.0,0.915,38.8,0.0,0.0,1.0,1.0,True,False
0,2.99025443,5.414,589.2,1.7,4667.0,0.731,48.5,0.0,0.0,1.0,1.0,True,False
1,1.594745374,1.9604,15044.0,11.3,5934.0,0.893,1009.3,0.0,0.0,0.0,0.0,True,False
1,4.783002698,2.335,1008.7,2.5,5170.0,0.807,70.6,0.0,0.0,0.0,0.0,True,False
1,20.50588921,4.0595,2105.5,3.41,4905.0,0.761,78.5,0.0,0.0,0.0,0.0,True,False
1,3.340218842,1.9104,1632.6,2.03,3950.0,0.493,71.6,0.0,0.0,0.0,0.0,True,False
0,2.507089906,2.0067,1339.2,30.26,5926.0,0.939,64.9,0.0,1.0,1.0,0.0,True,False
1,18.64932728,4.4056,893.6,3.12,5775.0,1.053,46.1,0.0,0.0,0.0,0.0,True,False
1,4.90144976,4.1654,140.7,1.7,5847.0,1.402,50.6,0.0,0.0,0.0,0.0,True,False
1,9.75192101,4.793,418.0,2.76,5775.0,1.053,28.5,0.0,0.0,0.0,0.0,True,False
1,38.5576546,5.794,993.0,4.02,5775.0,1.053,39.7,0.0,0.0,0.0,0.0,True,False
1,3.525632539,2.59959,22335.0,11.58,5150.0,0.793,1996.7,0.0,0.0,0.0,0.0,True,False
1,7.748094239,3.5957,2472.1,5.52,5973.0,1.085,113.2,0.0,0.0,0.0,0.0,True,False
1,23.96793669,3.827,1182.3,1.8,3747.0,0.524,27.5,0.0,0.0,0.0,0.0,True,False
1,8.29561738,1.3421,824.3,1.82,3747.0,0.524,17.9,0.0,0.0,0.0,0.0,True,False
1,8.11437482,2.2736,1558.0,2.1,3692.0,0.517,56.4,0.0,0.0,0.0,0.0,True,False
0,38.036729482,4.34617,82872.0,27.5,5575.0,0.932,1300.0,0.0,1.0,0.0,0.0,True,False
0,3.747838198,5.0642,616.0,13.65,5514.0,0.826,138.2,0.0,1.0,1.0,1.0,True,False
1,14.74914825,6.0995,430.2,2.89,5847.0,1.402,107.4,0.0,0.0,0.0,0.0,True,False
1,21.81295996,4.3791,1175.4,3.38,5601.0,0.999,37.8,0.0,0.0,0.0,0.0,True,False
0,7.91936937,3.3148,15148.0,10.34,5690.0,0.776,389.0,0.0,1.0,0.0,0.0,True,False
1,15.37562369,3.3169,15337.0,11.01,4986.0,0.833,166.0,0.0,0.0,0.0,0.0,True,False
1,8.10363271,3.161,887.9,2.11,4861.0,0.732,39.3,0.0,0.0,0.0,0.0,True,False
1,4.71510843,2.506,417.5,1.46,4861.0,0.732,21.3,0.0,0.0,0.0,0.0,True,False
1,6.365839713,2.9721,780.7,2.44,5776.0,0.849,70.8,0.0,0.0,0.0,0.0,True,False
0,5.97581754,3.065,962.4,3.86,6108.0,0.997,50.3,0.0,0.0,1.0,0.0,True,False
0,2.446737317,4.7211,1177.9,26.25,5764.0,0.863,110.2,0.0,0.0,1.0,1.0,True,False
1,3.04033046,1.8411,10859.0,8.99,5035.0,0.791,568.2,0.0,0.0,0.0,0.0,True,False
1,15.33528675,3.897,3081.4,5.0,5251.0,0.817,86.6,0.0,0.0,0.0,0.0,True,False
1,7.95825328,4.377,50.0,1.06,5847.0,1.402,14.7,0.0,0.0,0.0,0.0,True,False
1,31.33046135,5.176,5073.8,6.5,5251.0,0.817,117.2,0.0,0.0,0.0,0.0,True,False
0,3.9043425,3.831,16228.0,12.28,5810.0,0.898,323.4,0.0,1.0,0.0,0.0,True,False
0,9.286358079,3.49949,44791.0,17.61,5670.0,0.821,1671.1,0.0,1.0,0.0,0.0,True,False
0,3.951405455,2.1862,2453.9,31.44,6046.0,0.869,117.2,0.0,1.0,0.0,0.0,True,False
1,23.65369415,8.2183,3341.8,7.89,5739.0,1.384,266.3,0.0,0.0,0.0,0.0,True,False
1,13.23352214,6.7372,504.6,3.06,5739.0,1.384,49.1,0.0,0.0,0.0,0.0,True,False
1,6.15560285,4.9843,285.0,2.32,5739.0,1.384,35.1,0.0,0.0,0.0,0.0,True,False
1,2.090811305,3.388,115.9,1.62,5739.0,1.384,19.9,0.0,0.0,0.0,0.0,True,False
1,3.180027898,3.5797,120.3,1.53,5847.0,1.402,50.4,0.0,0.0,0.0,0.0,True,False
1,50.4467417,7.159,370.3,2.67,5739.0,1.384,19.4,0.0,0.0,0.0,0.0,True,False
1,11.76307164,2.9076,1037.3,2.35,4959.0,0.756,48.9,0.0,0.0,0.0,0.0,True,False
1,56.2279271,3.57,862.7,2.37,4959.0,0.756,20.9,0.0,0.0,0.0,0.0,True,False
0,2.384052875,3.0918,1268.1,17.06,4794.0,0.701,50.5,0.0,1.0,1.0,1.0,True,False
1,7.953547,2.6312,875.4,2.25,4768.0,0.779,38.4,0.0,0.0,0.0,0.0,True,False
1,4.14451656,2.3421,391.8,1.48,4768.0,0.779,22.8,0.0,0.0,0.0,0.0,True,False
0,4.859386384,2.2757,6044.3,38.33,6072.0,0.988,269.7,0.0,1.0,0.0,0.0,True,False
1,10.526294577,2.5211,9768.0,8.24,5386.0,0.793,482.3,0.0,0.0,0.0,0.0,True,False
1,4.583520948,2.7055,3812.1,5.39,5815.0,0.877,99.5,0.0,0.0,0.0,0.0,True,False
1,3.76181843,3.5176,510.6,2.66,5653.0,0.949,35.9,0.0,0.0,0.0,0.0,True,False
1,8.20396958,2.9667,1024.4,3.01,5015.0,0.826,54.4,0.0,0.0,0.0,0.0,True,False
1,14.49645186,4.016,647.5,3.01,5015.0,0.826,25.7,0.0,0.0,0.0,0.0,True,False
1,6.54626149,2.75,655.9,2.19,5251.0,0.817,24.8,0.0,0.0,0.0,0.0,True,False
1,12.71809866,3.0957,1149.4,2.31,4702.0,0.686,52.7,0.0,0.0,0.0,0.0,True,False
1,36.06588163,4.3246,1563.8,2.64,4702.0,0.686,51.7,0.0,0.0,0.0,0.0,True,False
1,4.190425659,2.8589,2877.4,6.21,6073.0,1.135,240.6,0.0,0.0,0.0,0.0,True,False
1,3.709870784,3.0694,2020.3,4.35,5727.0,0.978,116.1,0.0,0.0,0.0,0.0,True,False
1,16.3297527,6.271,1187.5,3.75,5878.0,0.987,74.6,0.0,0.0,0.0,0.0,True,False
1,27.807566216,4.21587,25391.0,13.84,5862.0,0.785,748.1,0.0,0.0,0.0,0.0,True,False
1,80.8723469,11.195,3604.6,7.59,5510.0,1.238,160.9,0.0,0.0,0.0,0.0,True,False
0,3.166465862,2.9381,4357.2,26.82,4968.0,0.704,122.1,0.0,1.0,1.0,0.0,True,False
1,24.99324319,5.9409,269.6,2.29,5718.0,1.317,62.0,0.0,0.0,0.0,0.0,True,False
1,10.35533116,3.1775,750.6,2.47,5501.0,0.918,49.2,0.0,0.0,0.0,0.0,True,False
