id,name,star_name,orbital_period,radius,ra,dec,duration,transit_depth,model_snr
96,CoRoT-10 b,CoRoT-10,13.23898152762,9.9189311375,291.0636813,0.7460143,2.67525785,1.7246554600000001,
97,CoRoT-11 b,CoRoT-11,2.99414500074,17.073794422,280.6872998,5.9376586,2.3600189,1.2609766999999998,
98,CoRoT-12 b,CoRoT-12,2.828043138315,16.047675329999997,100.7656871,-1.2964437,2.59791715,2.31504129,
99,CoRoT-13 b,CoRoT-13,4.035152887686,11.601673405,102.7211432,-5.0864557,2.99630815,1.18504723,
100,CoRoT-14 b,CoRoT-14,1.5121399999999998,11.949524000000002,103.4242023,-5.5360385,1.662,,
101,CoRoT-16 b,CoRoT-16,5.35227,13.112265,278.5246658,-6.0026026,2.39,1.02,
102,CoRoT-17 b,CoRoT-17,3.7681,11.383547666666667,278.699236,-6.612288,4.72001,0.44,
103,CoRoT-18 b,CoRoT-18,1.9000768412316666,14.256276756,98.1724172,-0.0316045,2.3464115999999997,2.57170086,
104,CoRoT-19 b,CoRoT-19,3.8971298601033335,13.9378856875,97.0335983,-0.1707293,4.7629441,0.63127463,
105,CoRoT-2 b,CoRoT-2,1.7429976162216667,16.429179335,291.7770457,1.3836634000000003,2.275843366666667,2.91648657,
106,CoRoT-20 b,CoRoT-20,9.242968382266668,11.688701132,97.7204249,0.2268931,2.3146936,1.0879977,
107,CoRoT-20 c,CoRoT-20,1675.0,,97.7204249,0.2268931,,,
108,CoRoT-21 b,CoRoT-21,2.72474,14.5717,101.0526207,-0.2991544,4.76,,
109,CoRoT-22 b,CoRoT-22,9.75598,4.88,280.6671392,6.2191669,4.492,,
110,CoRoT-23 b,CoRoT-23,3.6313,12.255356666666666,279.7826586,4.3577516,3.888,,
111,CoRoT-24 b,CoRoT-24,5.1134,3.7,101.922543,-3.7192892,2.85,,
112,CoRoT-24 c,CoRoT-24,11.759,5.0,101.922543,-3.7192892,4.8,,
113,CoRoT-25 b,CoRoT-25,4.86069,12.107859999999999,280.6296561,6.5138223,1.92,,
114,CoRoT-26 b,CoRoT-26,4.20474,14.12167,279.7504991,6.9697828,5.47,,
115,CoRoT-27 b,CoRoT-27,3.57532,11.2872315,278.4958319,5.5383811,2.77,,
116,CoRoT-28 b,CoRoT-28,5.20851,10.704595,278.6883216,5.5736911,5.7,,
117,CoRoT-29 b,CoRoT-29,2.8505671666666665,10.0881,278.9020691,6.4795703,2.19,,
118,CoRoT-3 b,CoRoT-3,4.25679955,11.3499609,292.0552827,0.1218359,3.384,0.4398,
119,CoRoT-30 b,CoRoT-30,9.06005,11.309881,277.6011767,6.8359338,,,
120,CoRoT-31 b,CoRoT-31,4.62941,16.36514,94.820735,-4.4222978,,,
121,CoRoT-32 b,CoRoT-32,6.7183689,6.38913,100.1951714,9.2573953,2.496,0.29,
122,CoRoT-35 b,CoRoT-35,3.22748,18.83108758,289.3143526,-2.7747085,4.19,1.257,
123,CoRoT-36 b,CoRoT-36,5.616531,15.80466279,277.7510149,7.1833465,4.98,1.01,
124,CoRoT-4 b,CoRoT-4,9.201949910385,13.279636482499999,102.1946233,-0.6727861,4.4317333,1.38123234,
125,CoRoT-5 b,CoRoT-5,4.037903507218333,15.36526161,101.27723959999999,0.8152163,2.9331124,1.492635295,
126,CoRoT-6 b,CoRoT-6,8.886601924999999,13.140119666666665,281.0725563,6.6632062,4.08,,
127,CoRoT-7 b,CoRoT-7,0.85362873375,1.6525073333333333,100.9561682,-1.0630076,1.092,0.03425,
128,CoRoT-7 c,CoRoT-7,3.6983333333333337,,100.9561682,-1.0630076,,,
129,CoRoT-7 d,CoRoT-7,8.966,,100.9561682,-1.0630076,,,
130,CoRoT-8 b,CoRoT-8,6.2123515000000005,6.92457725,291.5885696,1.4262972,2.74,0.651,
131,CoRoT-9 b,CoRoT-9,95.27312739999999,11.822830249999999,280.7866461,6.2040783,8.174,1.55,
132,DE CVn b,DE CVn,4098.1,,201.7207198,45.5455449,,,
133,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,,125.7620668,-49.2003008,,,
134,DH Tau b,DH Tau,,30.2643,67.4231674,26.5493897,,,
135,DMPP-1 b,DMPP-1,18.57,,86.7761233,-10.6303217,,,
136,DMPP-1 c,DMPP-1,6.584,,86.7761233,-10.6303217,,,
137,DMPP-1 d,DMPP-1,2.882,,86.7761233,-10.6303217,,,
138,DMPP-1 e,DMPP-1,5.516,,86.7761233,-10.6303217,,,
139,DMPP-2 b,DMPP-2,5.2072,,27.407731,-34.4590985,,,
140,DMPP-3 A b,DMPP-3 A,6.6734,,91.624382,-72.5126648,,,
141,DMPP-4 b,DMPP-4,3.4982,,293.5826648,51.2358069,,,
142,DP Leo b,DP Leo,9456.5,,169.3162193,17.9615717,,,
143,DS Tuc A b,DS Tuc A,8.138396725746667,5.835256053333333,354.9154673,-69.196043,3.22805125,0.3394015,
144,EPIC 201170410.02,EPIC 201170410,6.7987,1.047,170.1408561,-4.8070039,,,
145,EPIC 201238110 b,EPIC 201238110,28.1676,2.035,179.7058532,-3.3894613,3.36,0.316,
146,EPIC 201427007 b,EPIC 201427007,0.72091,1.5,184.6021322,-0.5512886,,,
147,EPIC 201497682 b,EPIC 201497682,2.13174,0.692,168.9366786,0.4880606,,,
148,EPIC 201595106 b,EPIC 201595106,0.87716675,1.3676880224999999,183.7203635,1.9681688,1.0008,0.025,
149,EPIC 201615463 c,K2-166,3.80464,1.22,185.1880932,2.2823788,,,
150,EPIC 201754305 d,K2-16,2.71578,1.03,175.0972238,4.5574311,,,
151,EPIC 201757695.02,EPIC 201757695,2.0478,0.90819,173.9385102,4.6164303,,,
152,EPIC 201833600 c,K2-50,3.96158,1.24,169.483654,5.988289,2.16,0.0485,
